r2_linear,r2_mlp_best,r2_mlp_cfg,r2_kr_best,r2_kr_cfg,r2_best_nonlinear,best_nl_source,linear_over_nonlinear,n_pca,pca_var_explained,layer
0.294267705897748,0.45873980775320566,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.5726908405638109,"{'alpha': 0.1, 'gamma': 0.01}",0.45873980775320566,mlp,0.6414697415055357,20,0.887102315588034,13
0.30305362384859724,0.15222143523401643,"{'hidden_layer_sizes': (16,), 'alpha': 1.0}",-0.5273333208084097,"{'alpha': 0.1, 'gamma': 0.01}",0.15222143523401643,mlp,1.9908735151701868,20,0.8953211521612906,14
0.3890639286937442,0.4412551060294184,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5856187262508754,"{'alpha': 0.1, 'gamma': 0.01}",0.4412551060294184,mlp,0.8817210801132471,20,0.8895358399402455,15
0.3826213936577686,0.34929062478031747,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5969428601050621,"{'alpha': 0.1, 'gamma': 0.01}",0.34929062478031747,mlp,1.0954241726310694,20,0.8881173563771436,16
0.3962546005163001,0.37618418407364906,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5941091604565738,"{'alpha': 0.1, 'gamma': 0.01}",0.37618418407364906,mlp,1.053352632280579,20,0.8843397208422119,17
0.3657746255453772,0.3026407252180938,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5944085260239877,"{'alpha': 0.1, 'gamma': 0.01}",0.3026407252180938,mlp,1.2086100615896516,20,0.8838199948879298,18
0.445829517810579,0.5114490617859098,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.6018335745152108,"{'alpha': 0.1, 'gamma': 0.01}",0.5114490617859098,mlp,0.8716987694801974,20,0.8809454055559028,19
0.4521131666691247,0.49947577338586424,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.591646425084392,"{'alpha': 0.1, 'gamma': 0.01}",0.49947577338586424,mlp,0.9051753673743249,20,0.8835048845297234,20
0.3669519019558486,0.6147939690405118,"{'hidden_layer_sizes': (8,), 'alpha': 10.0}",-0.5774992999763455,"{'alpha': 0.1, 'gamma': 0.01}",0.6147939690405118,mlp,0.5968697164166039,20,0.8809796644812807,21
0.3730235653823337,0.554837026565648,"{'hidden_layer_sizes': (32,), 'alpha': 10.0}",-0.598800016717592,"{'alpha': 0.1, 'gamma': 0.01}",0.554837026565648,mlp,0.6723119538205473,20,0.8719663581029946,22
0.31569329699348314,0.44757838282742346,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.6120685125739787,"{'alpha': 0.1, 'gamma': 0.01}",0.44757838282742346,mlp,0.7053363368427193,20,0.8635347298887222,23
0.31205570749996037,0.46171600314864814,"{'hidden_layer_sizes': (8,), 'alpha': 1.0}",-0.6003442133013943,"{'alpha': 0.1, 'gamma': 0.01}",0.46171600314864814,mlp,0.6758607138845368,20,0.8529762230249267,24
0.33919254309375235,0.4701930758445607,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.6035665459503201,"{'alpha': 0.1, 'gamma': 0.01}",0.4701930758445607,mlp,0.7213899151630312,20,0.855614230261298,25
0.42476107735823776,0.5853406967188064,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5992493350422015,"{'alpha': 0.1, 'gamma': 0.01}",0.5853406967188064,mlp,0.7256646936378832,20,0.8568929159076527,26
0.41640644477437283,0.5113895881040194,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5974873537239391,"{'alpha': 0.1, 'gamma': 0.01}",0.5113895881040194,mlp,0.8142646124615145,20,0.8455934374920739,27
0.4595295144356426,0.6292619976571503,"{'hidden_layer_sizes': (16,), 'alpha': 10.0}",-0.5804989810856065,"{'alpha': 0.1, 'gamma': 0.01}",0.6292619976571503,mlp,0.7302673864726447,20,0.8378392321687296,28
